ticker
AABA
ABMD
AGN
ALTR
ALXN
ANSS
ARG
ARNC
ATVI
AVP
BCR
BHGE
BK
BLL
BRCM
BXLT
CA
CBS
CCE
CDAY
CELG
CERN
CFN
CHK
CMA
CMCSK
COG
COV
CPGX
CTLT
CTRA
CTXS
CVC
CXO
DAY
DFS
DISH
DNB
DNR
DO
DRE
DTV
DWDP
ENDP
ESV
ETFC
FDO
FI
FISV
FL
FLIR
FRC
FTR
GAS
GGP
GMCR
GPS
HAR
HBI
HCBK
HCP
HES
HOLX
HRS
HSP
IPG
JEC
JNPR
JOY
JWN
K
KRFT
KSU
LLL
LLTC
LM
LO
LVLT
MJN
MMC
MNK
MON
MRO
MWV
MXIM
MYL
NBL
NFX
NLSN
PARA
PBCT
PCP
PDCO
PETM
PKI
PLL
PX
PXD
QEP
RAI
RHT
RTN
SATS
SEE
SIAL
SIVB
SNI
SRCL
STJ
SWN
SWY
TEG
TGNA
TIF
TMK
TSS
TWC
TWTR
VAR
VIAB
VIAC
WBA
WCG
WFM
WIN
WRK
WYND
XEC
XL
XLNX
